week,date,temp,press,stander,measure,error
100,161230,15,104,17.06,17.03,-0.0017584994
101,170106,15,104,17.016,17.014,-0.0001175364
102,170113,18,104,17.308,17.301,-0.0004044373
103,170120,16,104,17.194,17.538,0.0200069792
104,170126,13,102.3,17.01,17.165,0.0091122869
105,170203,15,104,17.016,17.014,-0.0001175364
106,170210,14,103.2,16.959,16.959,0
107,,15,103.9,17.136,17.479,0.0200163399
108,,17,103,16.856,16.823,-0.0019577598
109,,16,102.5,16.818,16.793,-0.0014865026
110,,17,103,16.856,16.823,-0.0019577598
111,,17,102.6,16.786,16.87,0.0050041701
112,,16,102.5,16.829,16.793,-0.0021391645
113,,17,103.22,16.891,16.942,0.0030193594
114,,18,102.2,16.662,16.712,0.0030008402
115,,17.6,101,16.4975,16.514,0.0010001515
116,,18,102.2,16.662,16.712,0.0030008402
117,,18,101.15,16.498,16.597,0.0060007274
118,20170505,20,101.4,16.428,16.576,0.009009009
119,,20,101.4,16.428,16.58,0.0092524957
120,,21,101.5,16.667,16.584,-0.0049799004
121,,21,102,16.441,16.556,0.0069947084
122,,21,101.9,16.473,16.638,0.0100163905
123,,25,101.3,16.394,16.455,0.0037208735
124,,24,101.2,16.52,16.578,0.0035108959
125,,23,101.5,16.363,16.383,0.0012222698
126,,25,101.1,16.19,16.337,0.0090796788
127,,25,100.4,16.22,16.219,-6.16522811342583E-05
128,,25,101.1,16.19,16.225,0.0021618283
129,,25,101.1,16.19,16.337,0.0090796788
130,,25,101.3,16.354,16.455,0.0061758591
131,,25,101.1,16.19,16.337,0.0090796788
132,,25,100.6,16.019,16.276,0.0160434484
133,,25,101.7,16.195,16.519,0.0200061747
134,,25,102,16.1716,16.4304,0.0160033639
135,170908,25,101.8,16.155,16.489,0.0206747137
136,,24,102.7,16.501,16.81,0.0187261378
137,,25,101.4,16.155,16.155,0
138,,25,101.2,16.155,16.284,0.0079851439
139,,24,102.7,16.501,16.81,0.0187261378
140,,20,102.5,16.6,16.66,0.0036144578
141,171027,20,102.5,16.6,16.6,0
142,,20,103.9,16.64,16.73,0.0054086538
143,,20,102.6,16.616,16.55,-0.0039720751
144,,20,103.2,16.807,16.753,-0.003212947
145,,20,103.2,16.808,16.854,0.002736792
146,,20,102.5,16.601,16.637,0.0021685441
147,,15.5,102.8,16.91,16.97,0.0035481963
148,,18,104,16.976,17.197,0.0130183789
149,,20,102.5,16.601,16.638,0.0022287814
150,,16,104,17.089,16.97,-0.0069635438
201,180105,14,103.4,17.061,16.636,-0.0249106149
202,180112,13,103.5,17.174,17.289,0.0066961686
203,180119,16.5,102.8,16.856,16.94,0.0049833887
204,180126,NA,NA,NA,NA,NA
205,180202,18,104.45,17.046,17.2,0.0090343776
206,,15,102.4,16.8,16.85,0.0029761905
207,,14,103.4,17.061,16.636,-0.0249106149
208,,16,104,17.089,16.97,-0.0069635438
209,,16.5,102.8,16.856,16.94,0.0049833887
210,,17,103,16.896,16.823,-0.0043205492
211,,20,104,16.85,17.22,0.021958457
212,,23,103.4,16.576,17.057,0.0290178571
213,,20,104,16.85,17.22,0.021958457
214,180406,NA,NA,NA,NA,NA
215,,20,103.1,16.698,17.0488,0.021008504
216,,23,101.5,16.363,16.383,0.0012222698
217,,18,102.6,16.734,17.119,0.0230070515
218,,18,101.5,16.554,16.753,0.0120212637
219,,18,102.35,16.686,16.853,0.0100083903
220,,18,101.6,16.564,16.763,0.0120140063
221,,19,100.9,16.429,16.66,0.0140605028
222,,20,100.9,16.462,16.66,0.0120277002
223,180601,20,100.9,16.462,16.66,0.0120277002
224,,26,101.7,16.17,16.14,-0.0018552876
225,,24,101.6,16.23,16.23,0
226,,26,101.1,16.069,16.316,0.0153712116
227,,23.5,100.5,16.099,16.18,0.0050313684
228,,27,101.5,16.086,16.36,0.0170334452
229,,25.5,101.4,16.14,16.32,0.0111524164
230,,25,101.3,16.15,16.35,0.0123839009
231,,26,101.6,16.15,16.25,0.0061919505
232,,26,101.6,16.15,16.24,0.0055727554
233,180806,26,101.2,NA,NA,NA
234,NA,NA,NA,NA,NA,NA
235,NA,NA,NA,NA,NA,NA
236,NA,NA,NA,NA,NA,NA
237,NA,NA,NA,NA,NA,NA
238,180921,24,101.3,16.08,16.2,0.0074626866
239,,22,102.1,16.29,16.51,0.0135052179
240,,22.5,103,16.423,16.51,0.0052974487
241,,21.5,103.4,16.5433,16.846,0.0182974376
242,,20,103.6,16.97,16.97,0
243,,20,102.1,16.419,16.778,0.0218649126
244,,19,101.8,16.208,16.208,0
245,,20,102.2,16.435,16.241,-0.0118040767
246,,18,104,16.84,16.55,-0.0172209026
247,,18,104,16.84,16.55,-0.0172209026
248,,17.5,103,16.705,16.549,-0.0093385214
249,,15,104.5,17.096,16.926,-0.0099438465
